date,league,away_team,home_team,away_xg,home_xg,away_poss,home_poss,away_goals,home_goals,total_goals,btts,winner
2026-07-17,mex.1,Cruz Azul,Atlético de San Luis,2.65,1.7,45.9,54.1,3,2,5,1,0
2026-07-17,mex.1,Atlas,León,2.65,1.7,45.9,54.1,3,2,5,1,0
2026-07-17,mex.1,Puebla,FC Juarez,0.95,0.0,45.9,54.1,1,0,1,0,0
2026-07-17,bra.1,Chapecoense,Bahia,0.3,2.67,39.0,61.0,0,2,2,0,1
2026-07-17,bra.1,Red Bull Bragantino,Fluminense,1.85,1.92,44.4,55.6,1,1,2,1,2
2026-07-17,bra.1,Grêmio,Mirassol,1.55,2.33,45.6,54.4,1,2,3,1,1
2026-07-17,usa.1,Atlanta United FC,Nashville SC,0.37,1.95,38.4,61.6,0,1,1,0,1
2026-07-17,usa.1,LAFC,LA Galaxy,3.35,0.67,46.2,53.8,3,0,3,0,0
2026-07-16,mex.1,Atlante,Necaxa,0.85,1.8,44.1,55.9,1,2,3,1,1
2026-07-16,mex.1,Tigres UANL,Tijuana,0.85,2.65,44.1,55.9,1,3,4,1,1
2026-07-16,bra.1,Santos,Botafogo,1.55,2.53,43.8,56.2,1,2,3,1,1
2026-07-16,bra.1,Vasco da Gama,Vitória,0.67,1.68,43.5,56.5,0,1,1,0,1
2026-07-16,usa.1,Toronto FC,CF Montréal,0.47,0.47,45.0,55.0,0,0,0,0,2
2026-07-16,usa.1,Sporting Kansas City,St. Louis CITY SC,2.07,3.08,43.5,56.5,2,3,5,1,1
2026-07-16,usa.1,Portland Timbers,Seattle Sounders FC,4.72,1.65,42.0,58.0,5,1,6,1,0
